rank,name,marketcap,transactionvalue,createdAt
110,엔진코인,"2,766 억원",343 억원,2025-02-25T15:14:22.334883
111,제타체인,"2,673 억원",445 억원,2025-02-25T15:14:22.334883
112,넴,"2,619 억원",280 억원,2025-02-25T15:14:22.334883
113,썬,"2,556 억원",875 억원,2025-02-25T15:14:22.334883
114,웨이브,"2,520 억원",478 억원,2025-02-25T15:14:22.334883
115,드리프트,"2,495 억원",589 억원,2025-02-25T15:14:22.334883
116,매직에덴,"2,451 억원","1,017 억원",2025-02-25T15:14:22.334883
117,그래비티,"2,307 억원",180 억원,2025-02-25T15:14:22.334883
118,루프링,"2,302 억원",364 억원,2025-02-25T15:14:22.334883
119,아이오텍스,"2,261 억원",219 억원,2025-02-25T15:14:22.334883
120,스테픈,"2,215 억원","1,284 억원",2025-02-25T15:14:22.334883
121,온톨로지,"2,169 억원",189 억원,2025-02-25T15:14:22.334883
122,솔레이어,"2,164 억원","2,605 억원",2025-02-25T15:14:22.334883
123,폴리매쉬,"2,139 억원",99 억원,2025-02-25T15:14:22.334883
124,하이브,"2,079 억원",152 억원,2025-02-25T15:14:22.334883
125,솔라,"1,960 억원",136 억원,2025-02-25T15:14:22.334883
126,스토리지,"1,895 억원",333 억원,2025-02-25T15:14:22.334883
127,애니메코인,"1,891 억원","1,911 억원",2025-02-25T15:14:22.334883
128,아캄,"1,888 억원","2,015 억원",2025-02-25T15:14:22.334883
129,디지바이트,"1,844 억원",64 억원,2025-02-25T15:14:22.334883
130,왁스,"1,825 억원",159 억원,2025-02-25T15:14:22.334883
131,아이콘,"1,778 억원",56 억원,2025-02-25T15:14:22.334883
132,프롬,"1,713 억원",93 억원,2025-02-25T15:14:22.334883
133,리스크,"1,653 억원",330 억원,2025-02-25T15:14:22.334883
134,오디우스,"1,639 억원",139 억원,2025-02-25T15:14:22.334883
135,파워렛저,"1,627 억원",203 억원,2025-02-25T15:14:22.334883
136,시빅,"1,605 억원",302 억원,2025-02-25T15:14:22.334883
137,어드벤처골드,"1,544 억원",521 억원,2025-02-25T15:14:22.334883
138,스크롤,"1,524 억원",278 억원,2025-02-25T15:14:22.334883
139,문빔,"1,515 억원",134 억원,2025-02-25T15:14:22.334883
140,아이큐,"1,512 억원",135 억원,2025-02-25T15:14:22.334883
141,스테이터스네트워크토큰,"1,484 억원",138 억원,2025-02-25T15:14:22.334883
142,타이코,"1,479 억원",226 억원,2025-02-25T15:14:22.334883
143,빅타임,"1,450 억원",548 억원,2025-02-25T15:14:22.334883
144,보라,"1,440 억원",32 억원,2025-02-25T15:14:22.334883
145,바운스토큰,"1,439 억원",957 억원,2025-02-25T15:14:22.334883
146,온톨로지가스,"1,423 억원",70 억원,2025-02-25T15:14:22.334883
147,블라스트,"1,417 억원",152 억원,2025-02-25T15:14:22.334883
148,크로미아,"1,403 억원",185 억원,2025-02-25T15:14:22.334883
149,스트라티스,"1,401 억원",159 억원,2025-02-25T15:14:22.334883
150,알트레이어,"1,398 억원",350 억원,2025-02-25T15:14:22.334883
151,아이오에스티,"1,380 억원",196 억원,2025-02-25T15:14:22.334883
152,엠블,"1,363 억원",24 억원,2025-02-25T15:14:22.334883
153,일드길드게임즈,"1,323 억원",378 억원,2025-02-25T15:14:22.334883
154,오브스,"1,269 억원",99 억원,2025-02-25T15:14:22.334883
155,펀디엑스,"1,268 억원",117 억원,2025-02-25T15:14:22.334883
156,아이젝,"1,223 억원",174 억원,2025-02-25T15:14:22.334883
157,오아시스,"1,218 억원",12 억원,2025-02-25T15:14:22.334883
158,디카르고,"1,203 억원",14 억원,2025-02-25T15:14:22.334883
159,밀크,"1,192 억원",92 억원,2025-02-25T15:14:22.334883
160,덴트,"1,191 억원",123 억원,2025-02-25T15:14:22.334883
161,오키드,"1,190 억원",112 억원,2025-02-25T15:14:22.334883
162,뉴메레르,"1,181 억원",229 억원,2025-02-25T15:14:22.334883
163,팍스달러,"1,152 억원",9 억원,2025-02-25T15:14:22.334883
164,아크,"1,138 억원",301 억원,2025-02-25T15:14:22.334883
165,액세스프로토콜,"1,123 억원",50 억원,2025-02-25T15:14:22.334883
166,스팀,"1,100 억원",340 억원,2025-02-25T15:14:22.334883
167,카르테시,"1,099 억원",137 억원,2025-02-25T15:14:22.334883
168,메탈,"1,060 억원",52 억원,2025-02-25T15:14:22.334883
169,메디블록,"1,050 억원",25 억원,2025-02-25T15:14:22.334883
170,카이버네트워크,"1,035 억원",147 억원,2025-02-25T15:14:22.334883
171,옴니네트워크,"1,020 억원",290 억원,2025-02-25T15:14:22.334883
172,게임빌드,"1,007 억원",118 억원,2025-02-25T15:14:22.334883
173,카브,943 억원,114 억원,2025-02-25T15:14:22.334883
174,아더,941 억원,124 억원,2025-02-25T15:14:22.334883
175,에이피아이쓰리,927 억원,337 억원,2025-02-25T15:14:22.334883
176,펑션엑스,925 억원,45 억원,2025-02-25T15:14:22.334883
177,매직,891 억원,221 억원,2025-02-25T15:14:22.334883
178,사이버,808 억원,243 억원,2025-02-25T15:14:22.334883
179,하이파이,806 억원,144 억원,2025-02-25T15:14:22.334883
180,룸네트워크,805 억원,47 억원,2025-02-25T15:14:22.334883
181,스톰엑스,793 억원,"1,622 억원",2025-02-25T15:14:22.334883
182,코박토큰,790 억원,36 억원,2025-02-25T15:14:22.334883
183,쿼크체인,788 억원,83 억원,2025-02-25T15:14:22.334883
184,뱅코르,787 억원,83 억원,2025-02-25T15:14:22.334883
185,토카막네트워크,777 억원,22 억원,2025-02-25T15:14:22.334883
186,폴리스웜,751 억원,59 억원,2025-02-25T15:14:22.334883
187,알파,723 억원,274 억원,2025-02-25T15:14:22.334883
188,스타게이트파이낸스,718 억원,225 억원,2025-02-25T15:14:22.334883
189,바이프로스트,710 억원,89 억원,2025-02-25T15:14:22.334883
190,오리진프로토콜,702 억원,219 억원,2025-02-25T15:14:22.334883
191,스트라이크,690 억원,92 억원,2025-02-25T15:14:22.334883
192,히포크랏,683 억원,30 억원,2025-02-25T15:14:22.334883
193,무비블록,651 억원,101 억원,2025-02-25T15:14:22.334883
194,래드웍스,589 억원,206 억원,2025-02-25T15:14:22.334883
195,엔케이엔,583 억원,123 억원,2025-02-25T15:14:22.334883
196,메타디움,576 억원,13 억원,2025-02-25T15:14:22.334883
197,아르고,574 억원,111 억원,2025-02-25T15:14:22.334883
198,깃코인,540 억원,116 억원,2025-02-25T15:14:22.334883
199,알파쿼크,516 억원,105 억원,2025-02-25T15:14:22.334883
200,썬더코어,511 억원,74 억원,2025-02-25T15:14:22.334883
201,디스트릭트0x,504 억원,15 억원,2025-02-25T15:14:22.334883
202,헌트,499 억원,34 억원,2025-02-25T15:14:22.334883
203,퍼퍼,470 억원,125 억원,2025-02-25T15:14:22.334883
204,피르마체인,468 억원,24 억원,2025-02-25T15:14:22.334883
205,그로스톨코인,465 억원,62 억원,2025-02-25T15:14:22.334883
