id,name,weeklyGain,monthlyGain,threemonthGain,sixmonthGain,yearlyGain,createdAt
106,폴리곤에코시스템토큰,-11.26%,-31.25%,-17.16%,-20.52%,-58.18%,2025-02-10T17:16:45.478346
107,블라스트,-11.48%,-53.88%,-53.46%,-59.04%,-,2025-02-10T17:16:45.478346
108,카브,-11.67%,-45.54%,-48.38%,-,-,2025-02-10T17:16:45.478346
109,스테이터스네트워크토큰,-11.80%,-33.91%,-1.49%,+58.34%,-12.49%,2025-02-10T17:16:45.478346
110,마스크네트워크,-11.85%,-16.87%,-24.41%,+21.49%,-28.20%,2025-02-10T17:16:45.478346
111,소닉SVM,-11.90%,-60.64%,-,-,-,2025-02-10T17:16:45.478346
112,에이브,-12.04%,-11.55%,+49.16%,+156.13%,+221.79%,2025-02-10T17:16:45.478346
113,퀀텀,-12.06%,-12.67%,+10.65%,+29.78%,+5.55%,2025-02-10T17:16:45.478346
114,샌드박스,-12.13%,-34.36%,+38.14%,+65.74%,-6.07%,2025-02-10T17:16:45.478346
115,아비트럼,-12.15%,-37.00%,-21.72%,-10.95%,-73.26%,2025-02-10T17:16:45.478346
116,아발란체,-12.41%,-30.11%,-19.50%,+32.29%,-27.50%,2025-02-10T17:16:45.478346
117,세이,-12.47%,-39.59%,-48.98%,-11.45%,-61.72%,2025-02-10T17:16:45.478346
118,쓰레스홀드,-12.60%,-29.09%,-9.86%,+3.57%,-11.75%,2025-02-10T17:16:45.478346
119,엑스알피,-12.75%,-4.47%,+267.27%,+361.15%,+416.85%,2025-02-10T17:16:45.478346
120,카바,-12.82%,-2.90%,+24.39%,+58.75%,-25.32%,2025-02-10T17:16:45.478346
121,에이셔,-13.01%,-40.52%,-40.28%,-41.31%,-,2025-02-10T17:16:45.478346
122,너보스,-13.42%,-43.17%,-51.18%,-,-,2025-02-10T17:16:45.478346
123,스택스,-13.49%,-38.06%,-50.49%,-29.92%,-43.11%,2025-02-10T17:16:45.478346
124,제타체인,-13.65%,-42.13%,-57.13%,-46.82%,-,2025-02-10T17:16:45.478346
125,세이프,-13.87%,-40.84%,-46.10%,-,-,2025-02-10T17:16:45.478346
126,바나,-13.91%,-55.97%,-,-,-,2025-02-10T17:16:45.478346
127,피스네트워크,-14.00%,-38.55%,-49.08%,-25.53%,-,2025-02-10T17:16:45.478346
